Model,Class/Metric,precision,recall,f1-score,support
MFCC CRNN (257),anger,0.8228882833787466,0.8118279569892473,0.8173207036535859,372.0
MFCC CRNN (257),disgust,0.751412429378531,0.6487804878048781,0.6963350785340314,410.0
MFCC CRNN (257),fear,0.6329479768786127,0.5855614973262032,0.6083333333333333,374.0
MFCC CRNN (257),happiness,0.6180555555555556,0.6776649746192893,0.6464891041162227,394.0
MFCC CRNN (257),neutral,0.6796875,0.7331460674157303,0.7054054054054054,356.0
MFCC CRNN (257),sadness,0.6430379746835443,0.7016574585635359,0.6710700132100397,362.0
MFCC CRNN (257),surprise,0.9051724137931034,0.8333333333333334,0.8677685950413223,126.0
MFCC CRNN (257),accuracy,0.6992481203007519,0.6992481203007519,0.6992481203007519,0.6992481203007519
MFCC CRNN (257),macro avg,0.7218860190954419,0.7131388251503167,0.7161031761848486,2394.0
MFCC CRNN (257),weighted avg,0.7031036719619698,0.6992481203007519,0.699734573821266,2394.0
